Empresa,Precio,Volumen,Cambio_Valor,Cambio_Porcentaje
Nike Inc,63.76,"137,340",0.28,0.44
Coca-Cola Company The,71.77,"60,148",0.15,0.21
Microsoft Corporation,374.48,"171,725",-0.91,0.24
American Express Co,269.05,"4,830",3.57,1.34
Amgen Inc,309.56,"5,972",-1.99,0.64
Apple Inc,220.3,"612,896",-1.83,0.82
Boeing Company The,169.68,"80,939",-0.87,0.51
Cisco Systems Inc,61.6,"31,486",-0.11,0.18
Goldman Sachs Group Inc The,543.94,"52,091",-2.35,0.43
International Business Machines Corp,247.08,"19,391",-1.58,0.64
Intel Corporation,22.51,"1,372,437",-0.2,0.88
JPMorgan Chase & Co,243.98,"18,554",-1.32,0.54
McDonald's Corp,312.0,"9,428",-0.37,0.12
Salesforcecom Inc,266.98,"53,182",-1.38,0.51
Verizon Communications Inc,45.4,"129,797",0.04,0.09
Visa Inc,349.05,"12,280",-1.41,0.40
Walmart Inc,87.52,"78,567",-0.27,0.31
Walt Disney Company The,98.41,"325,510",-0.29,0.29
