Date,Open,High,Low,Close,Volume
2/1/2025 16:00:00,191.49,193.2,188.71,190.63,17545162
3/1/2025 16:00:00,192.73,194.5,191.35,193.13,12874957
6/1/2025 16:00:00,195.15,199.56,195.06,197.96,19483323
7/1/2025 16:00:00,198.27,202.14,195.94,196.71,16966760
8/1/2025 16:00:00,193.95,197.64,193.75,195.39,14335341
10/1/2025 16:00:00,195.42,197.62,191.6,193.17,20753794
13/1/2025 16:00:00,191.35,192.49,188.66,192.29,13169060
14/1/2025 16:00:00,192.5,193.27,189.64,191.05,13651183
15/1/2025 16:00:00,194.35,197.8,193.33,196.98,12894875
16/1/2025 16:00:00,195.83,196.98,194.3,194.41,13449581
17/1/2025 16:00:00,198.05,198.81,195.31,197.55,22109129
21/1/2025 16:00:00,200.51,203.84,199.44,199.63,19005232
22/1/2025 16:00:00,200.55,202.12,199.2,200.03,15477376
23/1/2025 16:00:00,199.98,201.94,196.82,199.58,15170838
24/1/2025 16:00:00,199.85,202.57,199.78,201.9,12732376
27/1/2025 16:00:00,194.19,198.67,192.7,193.77,24970173
28/1/2025 16:00:00,194.65,197.23,192.61,197.07,15939161
29/1/2025 16:00:00,197.37,198.46,195.19,197.18,12287818
30/1/2025 16:00:00,199.76,203.24,199.47,202.63,14571479
31/1/2025 16:00:00,203.72,207.08,203.58,205.6,17087335
3/2/2025 16:00:00,202.22,205.22,201.66,202.64,16719469
4/2/2025 16:00:00,204.5,208.7,204.26,207.71,28285436
5/2/2025 16:00:00,193.1,194.55,189.91,193.3,43719589
6/2/2025 16:00:00,190.99,193.83,190.49,193.31,20816593
7/2/2025 16:00:00,192.74,193.02,185.1,187.14,29565724
10/2/2025 16:00:00,189.06,189.99,187.61,188.2,16606020
11/2/2025 16:00:00,186.84,188.8,186.08,187.07,13028100
12/2/2025 16:00:00,185.23,186.83,183.63,185.43,17632314
13/2/2025 16:00:00,185.93,187.99,184.88,187.88,12729334
14/2/2025 16:00:00,186.83,188.15,186.11,186.87,12714154
18/2/2025 16:00:00,187.44,187.78,183.58,185.8,19796028
19/2/2025 16:00:00,186.19,187.36,185.5,187.13,13120465
20/2/2025 16:00:00,186.5,187.12,184.6,186.64,12063807
21/2/2025 16:00:00,187.29,187.47,181.13,181.58,19520782
24/2/2025 16:00:00,183.8,185.09,180.88,181.19,18734014
25/2/2025 16:00:00,180.16,180.76,176.77,177.37,20832485
26/2/2025 16:00:00,176.95,178.08,173.59,174.7,23693251
27/2/2025 16:00:00,175.94,176.59,169.75,170.21,25930530
28/2/2025 16:00:00,170.3,172.5,168.39,172.22,30049812
3/3/2025 16:00:00,173.73,175,167.64,168.66,24121991
4/3/2025 16:00:00,167.94,175.17,167.54,172.61,30711408
5/3/2025 16:00:00,172.32,175.75,170.93,174.99,18848036
6/3/2025 16:00:00,172.55,176.73,172.51,174.21,19082404
7/3/2025 16:00:00,173.24,176.9,172.25,175.75,16395287
10/3/2025 16:00:00,170.16,170.45,165.57,167.81,28990724
11/3/2025 16:00:00,166.68,168.66,163.24,165.98,23705899
12/3/2025 16:00:00,168.47,169.53,165.48,169,19880062
13/3/2025 16:00:00,167.98,168.12,164.07,164.73,15206165
14/3/2025 16:00:00,165.32,168.25,164.51,167.62,18611094
17/3/2025 16:00:00,167.33,168.46,165.81,166.57,17839139
18/3/2025 16:00:00,165.96,166.44,158.8,162.67,24616784
19/3/2025 16:00:00,163.92,168.13,163.05,166.28,24955717
20/3/2025 16:00:00,163.82,167.03,163.14,165.05,19981512
21/3/2025 16:00:00,163.38,166.47,163.03,166.25,29882064
24/3/2025 16:00:00,169.27,170.5,167.44,169.93,18742848
25/3/2025 16:00:00,171.18,172.91,170.55,172.79,13841592
26/3/2025 16:00:00,171.3,171.94,166.86,167.14,22554236
27/3/2025 16:00:00,166.71,167.44,163.85,164.08,21571174
28/3/2025 16:00:00,162.36,163.81,155.34,156.06,34866462
31/3/2025 16:00:00,154.81,157.13,152.21,156.23,33591554
1/4/2025 16:00:00,155.3,160.08,155.26,158.88,20111376
2/4/2025 16:00:00,156.96,160.28,156.53,158.86,17113321
3/4/2025 16:00:00,152.84,154.69,152.18,152.63,28416065
4/4/2025 16:00:00,149.9,153.09,147.54,147.74,39832207
7/4/2025 16:00:00,143.39,154.93,142.66,149.24,47823024
8/4/2025 16:00:00,153.57,154.44,145.21,146.58,35304388
9/4/2025 16:00:00,146.33,161.87,145.81,161.06,46479542
