Date,Open,High,Low,Close,Volume
2/1/2025 16:00:00,244.17,245.53,244.08,245.42,6241899
3/1/2025 16:00:00,244.56,244.82,243.36,243.49,4875546
6/1/2025 16:00:00,242.33,243.79,242.05,243.19,3758903
7/1/2025 16:00:00,245.52,245.77,243.81,244.56,5090333
8/1/2025 16:00:00,245.72,246.45,244.51,245.86,6303334
10/1/2025 16:00:00,248.01,249.04,247.55,248.21,12380131
13/1/2025 16:00:00,246.34,246.79,245.15,245.74,8448595
14/1/2025 16:00:00,245.62,247.04,245.52,247.03,4914837
15/1/2025 16:00:00,248.21,248.9,247.01,248.88,6344973
16/1/2025 16:00:00,250.56,251.39,250.27,250.6,9235998
17/1/2025 16:00:00,249.7,250.81,249.15,249.27,8312858
21/1/2025 16:00:00,252.06,253.36,251.83,253.13,7668119
22/1/2025 16:00:00,254.29,254.68,253.78,254.43,5213777
23/1/2025 16:00:00,253.19,254.54,252.82,254.07,6511526
24/1/2025 16:00:00,255.96,257.07,255.61,255.65,7341337
27/1/2025 16:00:00,253.83,254.26,251.92,252.99,5799780
28/1/2025 16:00:00,254.23,255.25,253.89,255.18,5332005
29/1/2025 16:00:00,254.55,254.82,253.3,254.2,5671753
30/1/2025 16:00:00,257.2,258.29,256.45,258.05,12981164
31/1/2025 16:00:00,259.08,259.99,257.86,258.56,8965576
3/2/2025 16:00:00,259.75,261.39,259.52,259.94,11521093
4/2/2025 16:00:00,261.83,262.54,261.35,262.5,9850412
5/2/2025 16:00:00,264.45,265.99,263.89,264.13,12681127
6/2/2025 16:00:00,263.66,263.72,261.49,263.43,8731433
7/2/2025 16:00:00,265.22,266.35,263.26,263.9,9154042
10/2/2025 16:00:00,268,268.66,267.24,268.37,13250312
11/2/2025 16:00:00,267.7,268.36,266.71,267.39,7169450
12/2/2025 16:00:00,267.15,268.43,266.35,267.67,9328598
13/2/2025 16:00:00,268.4,270.39,268.22,270.31,8347547
14/2/2025 16:00:00,270.07,270.21,265.45,266.29,11546721
18/2/2025 16:00:00,269.68,271.01,269.6,270.7,8185949
19/2/2025 16:00:00,270.68,271.33,269.24,270.85,9342452
20/2/2025 16:00:00,270.23,271.84,270.17,270.99,7356900
21/2/2025 16:00:00,270.8,271.51,269.51,270.74,8917431
24/2/2025 16:00:00,271.45,272.32,270.38,272.21,5374360
25/2/2025 16:00:00,271.46,271.68,266.45,268.62,10079777
26/2/2025 16:00:00,267.08,269.08,266.66,269.03,7276033
27/2/2025 16:00:00,266.49,266.67,264.45,264.93,9374626
28/2/2025 16:00:00,262.56,263.4,261.25,263.27,11504491
3/3/2025 16:00:00,265.07,266.88,265.07,266.74,7725647
4/3/2025 16:00:00,269.01,269.4,267.52,269.06,8481343
5/3/2025 16:00:00,267.97,270.26,267.96,269.62,6990354
6/3/2025 16:00:00,268.25,269.51,268.16,268.25,6136447
7/3/2025 16:00:00,269.09,270.34,267.64,268.39,10431236
10/3/2025 16:00:00,267.62,268.44,265.64,266.04,7593890
11/3/2025 16:00:00,268.47,269.73,268.44,269.16,8436562
12/3/2025 16:00:00,268.47,271.23,268.36,270.33,7236239
13/3/2025 16:00:00,271.57,275.35,271.55,275.13,13741460
14/3/2025 16:00:00,276.27,276.3,274.66,275.24,13364965
17/3/2025 16:00:00,275.54,276.79,275.39,276.73,8583359
18/3/2025 16:00:00,279.9,280.21,278.97,279.96,9596547
19/3/2025 16:00:00,279.85,281.48,279.06,281.11,8822197
20/3/2025 16:00:00,279.49,280.9,279.43,280.75,5863288
21/3/2025 16:00:00,279.46,279.46,276.59,278.49,9359340
24/3/2025 16:00:00,278.91,279.09,276.86,277.25,7870109
25/3/2025 16:00:00,278.78,279.96,278.27,278.47,5090179
26/3/2025 16:00:00,278.93,279.02,277.78,278.24,3741843
27/3/2025 16:00:00,280.55,282.07,279.59,281.97,8476335
28/3/2025 16:00:00,283.82,284.64,282.86,284.06,9563660
31/3/2025 16:00:00,287.53,288.39,285.85,288.14,13925100
1/4/2025 16:00:00,288.54,289.13,285.91,287.57,15923553
2/4/2025 16:00:00,288.28,289.03,287.36,288.16,11074787
3/4/2025 16:00:00,282.78,289.09,282.45,286.42,20524385
4/4/2025 16:00:00,283.64,284.03,278.02,279.72,21517158
7/4/2025 16:00:00,278.86,280.14,272.58,273.71,19806990
8/4/2025 16:00:00,277.87,278.32,274.24,275.2,12639534
9/4/2025 16:00:00,282.22,285.87,281.04,285.38,25342180
