Empresa,Precio,Volumen,Cambio_Valor,Cambio_Porcentaje
Nike Inc,53.3,"650,803",0.03,0.06
Coca-Cola Company The,67.92,"74,757",-0.5,0.73
Microsoft Corporation,354.26,"523,299",-0.3,0.08
American Express Co,229.04,"20,634",-2.35,1.02
Amgen Inc,267.6,"16,927",-12.66,4.52
Apple Inc,173.2,"5,305,402",0.78,0.45
Boeing Company The,138.5,"194,890",-0.89,0.64
Cisco Systems Inc,52.98,"134,976",-0.21,0.39
Goldman Sachs Group Inc The,455.23,"42,276",-6.99,1.51
International Business Machines Corp,220.0,"27,915",-1.03,0.47
Intel Corporation,18.06,"5,297,999",-0.07,0.39
JPMorgan Chase & Co,215.25,"130,456",-1.62,0.75
McDonald's Corp,297.9,"10,499",-1.93,0.64
Salesforcecom Inc,243.07,"35,995",-0.92,0.38
Verizon Communications Inc,41.57,"283,957",-0.6,1.42
Visa Inc,306.4,"28,349",-1.87,0.61
Walmart Inc,81.45,"666,946",-0.34,0.42
Walt Disney Company The,81.11,"87,991",-0.61,0.75
