Empresa,Precio,Volumen,Cambio_Valor,Cambio_Porcentaje
Nike Inc,65.9,"337,882",0.1,0.15
Coca-Cola Company The,70.8,"354,876",0.06,0.08
Microsoft Corporation,389.29,"126,444",-1.29,0.33
American Express Co,270.8,"1,704",-1.22,0.45
Amgen Inc,305.0,664,-0.77,0.25
Apple Inc,222.19,"309,651",-1.66,0.74
Boeing Company The,178.23,"25,607",-0.88,0.49
Cisco Systems Inc,61.72,"115,632",0.32,0.52
Goldman Sachs Group Inc The,556.0,"149,546",-2.92,0.52
International Business Machines Corp,246.2,"3,318",-0.01,0.00
Intel Corporation,23.54,"1,415,725",-0.08,0.34
JPMorgan Chase & Co,247.0,"411,813",-1.12,0.45
McDonald's Corp,310.57,"63,038",-2.12,0.68
Salesforcecom Inc,276.5,"4,195",-1.31,0.47
Verizon Communications Inc,45.1,"425,796",0.14,0.31
Visa Inc,349.21,"3,725",-0.65,0.19
Walmart Inc,85.4,"674,488",-0.23,0.27
Walt Disney Company The,100.31,"7,067",-0.14,0.14
