Empresa,Precio,Volumen,Cambio_Valor,Cambio_Porcentaje
Nike Inc,65.58,"60,281",-0.16,0.24
Coca-Cola Company The,70.0,"25,395",-0.02,0.03
Microsoft Corporation,390.21,"229,055",0.24,0.06
American Express Co,275.5,"2,930",-0.5,0.18
Amgen Inc,305.71,"1,908",-1.15,0.37
Apple Inc,221.32,"165,216",-0.21,0.09
Boeing Company The,178.29,"31,514",-0.26,0.15
Cisco Systems Inc,61.87,"20,133",0.07,0.11
Goldman Sachs Group Inc The,571.0,"9,125",-2.92,0.51
International Business Machines Corp,250.0,"9,482",-0.34,0.14
Intel Corporation,23.29,"739,968",-0.13,0.56
JPMorgan Chase & Co,250.21,"17,480",-0.82,0.33
McDonald's Corp,315.2,"4,706",1.62,0.52
Salesforcecom Inc,280.1,"4,426",-0.89,0.32
Verizon Communications Inc,44.34,"22,011",0.16,0.36
Visa Inc,344.06,"3,899",-0.12,0.03
Walmart Inc,84.81,"42,238",-0.4,0.47
Walt Disney Company The,100.45,"11,556",-0.33,0.33
